track_id;popularity;duration_ms;explicit;danceability;energy;tempo
5SuOikwiRyPMVoIQDJUgSV;73;230666;FALSO;676;461;87917
4qPNDBW1i3p13qLCt0Ki3A;55;149610;FALSO;42;166;77489
1iJBSr7s7jYXzM8EGcbK5b;57;210826;FALSO;438;359;76332
6lfxq3CG4xtTiEg7opyCyx;71;201933;FALSO;266;596;18174
5vjLSffimiIP26QG5WcN2K;82;198853;FALSO;618;443;119949
01MVOl9KtVTNfFiBU9I7dc;58;214240;FALSO;688;481;98017
6Vc5wAMmXdKIAM7WUoEb7N;74;229400;FALSO;407;147;141284
1EzrEOXmMH3G43AXT1y7pA;80;242946;FALSO;703;444;15096
0IktbUcnAGrvD03AWnz3Q8;74;189613;FALSO;625;414;130088
7k9GuJYLp2AzqokyEdwEw2;56;205594;FALSO;442;632;78899
4mzP5mHkRvGxdhdGdAH7EJ;74;244800;FALSO;627;363;99905
5ivF4eQBqJiVL5IAE9jRyl;69;240165;FALSO;483;303;133406
4ptDJbJl35d7gQfeNteBwp;52;198712;FALSO;489;314;124234
0X9MxHR1rTkEHDjp95F2OO;62;248448;FALSO;691;234;87103
4LbWtBkN82ZRhz9jqzgrb3;56;188133;FALSO;755;78;120004
1KHdq8NK9QxnGjdXb55NiG;58;244986;FALSO;489;561;83457
6xKeQgzfjixSUld14qUezm;56;129750;FALSO;706;112;110154
4Yo0igmcoNyat1secaH0OD;54;169728;FALSO;795;841;91803
6CgNoAbFJ4Q4Id4EjtbXlC;67;260186;FALSO;717;32;107946
210JCw2LbYD4YIs8GiZ9iP;63;174174;FALSO;678;351;90032
0BUuuEvNa5T4lMaewyiudB;0;216386;FALSO;572;454;140182
3Hn3LfhrQOaKihdCibJsTs;0;231266;FALSO;796;667;97988
6D33wCKzWtNEgOovgeVJ7r;1;302346;FALSO;755;454;12006
5IfCZDRXZrqZSm8AwE44PG;0;131760;FALSO;62;309;145363
0dzKBptH2P5j5a0MifBMwM;0;273653;FALSO;633;429;143793
1m5LC29RE52Bxy7hxvpOlL;0;234186;FALSO;593;455;202019
3H36x7buZdQD4687VmFrwY;0;259558;FALSO;296;206;1654
62EwQLDw0dprDzuLwQ0sH1;0;257493;FALSO;409;153;85262
3lvo0I8c2qBJDLZWqExDgC;0;247791;FALSO;501;952;138016
1ae8XfBQ3fDEvmBjFaemGV;0;206267;FALSO;606;326;91626
6sp6Vx3sv2l5qxPfbQkcyt;0;306794;FALSO;474;519;151832
1WFVfVjCtbmdIv7j3Fa9iy;0;266960;FALSO;568;301;88029
0e5PAxSyZ5DWWVqKANHETz;0;230098;FALSO;568;686;172075
6JGjevTaqr9J1xp7YvYUKF;0;193943;FALSO;476;666;148155
72xTsTouZ5nBmASX8k1XCW;46;213098;FALSO;596;2;107893
3ILmwMefYZoQh5Cf5jeuUQ;61;232360;FALSO;373;914;16821
2DHDuADAHoUW6n0z80RLQF;60;241119;FALSO;494;652;137018
5JDcQAztvZTIkrWoZihgvC;68;220239;FALSO;447;393;73139
2sYFi9xVSZ56WHKSY2fN1K;52;171543;FALSO;576;331;14902
6xJOhSm4SvZwzy3uhWz26O;62;286865;FALSO;536;89;121974
7lLKxcNeJtDTWVRKHovLEC;51;234473;FALSO;526;333;94951
25UzeaV47eDT44Fovve6xQ;0;216000;FALSO;501;381;80075
4oa14QBfWRDfJy2agySy0L;67;232760;FALSO;27;275;168964
2gRKq9rIC5i1zuxp06zJWH;57;178600;VERDADERO;731;507;117969
08MFgEQeVLF37EyZ7jcwLc;75;254400;FALSO;375;457;174839
6nXIYClvJAfi6ujLiKqEq8;62;244320;FALSO;43;791;171864
7x4b0UccXSKBWxWmjcrG2T;66;124933;FALSO;616;282;96638
6owKuyHxUqidcAA6fPKSyy;64;222146;FALSO;705;347;80057
0wbmIfvndFV9VDvuUY1pYN;62;181852;FALSO;582;255;139884
3e5yu9MkIvQx17mm7LF6KY;58;186584;FALSO;549;274;86664
6VwAh8Z1d5YKoSWoEaV4db;65;159600;FALSO;787;355;99978
2D4BSm5Z8Hq5zYbSgJwEOh;67;250266;FALSO;397;303;8105
7LwGBxB0h0CVmkOZxYKn0g;65;318908;FALSO;548;42;128012
0ZwdH0m32I8odedwvspYTh;44;222351;FALSO;787;403;118042
3TwtrR1yNLY1PMPsrGQpOp;70;221693;FALSO;382;416;102089
3Et4LKZLnXygPYfNdeB3D3;57;354400;FALSO;541;575;9198
2E9viCx0hJKNKNThd2MdGQ;56;177500;FALSO;607;473;119698
0Zf1BPkkFAWGtVHeBwHHz4;56;247840;FALSO;417;595;147928
2SkJKMfjpYsNv0KWOxiegX;62;229320;FALSO;709;913;108024
4qCbMMMuEB56kHd4zPE6GD;45;330933;FALSO;537;342;109236
11TK5KLtLZUdKr1C549bAw;64;172213;FALSO;602;336;90894
7BXW1QCg56yzEBV8pW8pah;65;226106;FALSO;643;638;82001
2kMrCPZ0o5gErBPLCRgoli;0;235173;FALSO;451;7;150055
5IjTZ1g8KrIuV97N3OQZ0V;0;195213;FALSO;546;391;139669
3bHhUEOTIbezeZ856R0BX5;68;236306;FALSO;561;327;161858
0wf17wsLRwnnfh241GkeH5;0;181400;FALSO;479;541;85994
4LGF2tDg3878bs0mQPByZ4;61;164500;FALSO;436;4;100734
6Uy6K3KdmUdAfelUp0SeXn;70;220573;FALSO;551;836;185063
0qJGlogD7AyMLAJfQ42aI2;62;210612;FALSO;6;845;97631
04JS6OitE9VGsIS3S94Osg;0;154440;FALSO;492;145;90078
3Vnes7v746dYzBn0FJTZ1W;0;263866;FALSO;447;555;117888
7cPuE0M35EajWPRO3nRcH8;0;199040;FALSO;603;78;100499
0U32q8CZRRo7xCzyiaZw5f;58;293040;FALSO;626;655;92003
