track_id;key;loudness;mode;speechiness;acoousticness;liveness;valence;time_signature
5SuOikwiRyPMVoIQDJUgSV;1;-6746;0;143;322;358;715;4
4qPNDBW1i3p13qLCt0Ki3A;1;-17235;1;763;924;101;267;4
1iJBSr7s7jYXzM8EGcbK5b;0;-9734;1;557;21;117;12;4
6lfxq3CG4xtTiEg7opyCyx;0;-18515;1;363;905;132;143;3
5vjLSffimiIP26QG5WcN2K;2;-9681;1;526;469;829;167;4
01MVOl9KtVTNfFiBU9I7dc;6;-8807;1;105;289;189;666;4
6Vc5wAMmXdKIAM7WUoEb7N;2;-8822;1;355;857;913;765;3
1EzrEOXmMH3G43AXT1y7pA;11;-9331;1;417;559;973;712;4
0IktbUcnAGrvD03AWnz3Q8;0;-87;1;369;294;151;669;4
7k9GuJYLp2AzqokyEdwEw2;1;-677;1;295;426;735;196;4
4mzP5mHkRvGxdhdGdAH7EJ;8;-8127;1;291;279;928;301;4
5ivF4eQBqJiVL5IAE9jRyl;4;-10058;1;429;694;115;139;3
4ptDJbJl35d7gQfeNteBwp;7;-9245;0;331;749;113;607;4
0X9MxHR1rTkEHDjp95F2OO;3;-6441;1;285;777;12;209;4
4LbWtBkN82ZRhz9jqzgrb3;2;-6084;1;327;124;121;387;4
1KHdq8NK9QxnGjdXb55NiG;4;-7933;1;274;2;179;238;3
6xKeQgzfjixSUld14qUezm;2;-18098;1;391;827;125;414;4
4Yo0igmcoNyat1secaH0OD;10;-1809;0;461;742;853;609;4
6CgNoAbFJ4Q4Id4EjtbXlC;3;-8393;1;283;83;107;322;4
210JCw2LbYD4YIs8GiZ9iP;0;-8654;1;266;747;355;569;4
0BUuuEvNa5T4lMaewyiudB;3;-10286;1;258;477;974;515;4
3Hn3LfhrQOaKihdCibJsTs;5;-4831;0;392;381;221;754;4
6D33wCKzWtNEgOovgeVJ7r;9;-9609;0;352;757;236;33;4
5IfCZDRXZrqZSm8AwE44PG;5;-9209;1;495;788;146;664;4
0dzKBptH2P5j5a0MifBMwM;4;-6784;0;381;444;132;52;4
1m5LC29RE52Bxy7hxvpOlL;6;-8192;1;388;366;914;564;4
3H36x7buZdQD4687VmFrwY;0;-11799;1;412;782;959;202;4
62EwQLDw0dprDzuLwQ0sH1;6;-1074;0;306;939;108;18;4
3lvo0I8c2qBJDLZWqExDgC;2;-12931;1;54;963;915;316;4
1ae8XfBQ3fDEvmBjFaemGV;10;-10031;1;294;841;139;414;4
6sp6Vx3sv2l5qxPfbQkcyt;7;-5291;1;253;281;107;326;4
1WFVfVjCtbmdIv7j3Fa9iy;10;-10163;0;373;796;118;142;4
0e5PAxSyZ5DWWVqKANHETz;1;-6635;1;33;15;881;725;4
6JGjevTaqr9J1xp7YvYUKF;6;-3438;1;446;314;342;498;4
72xTsTouZ5nBmASX8k1XCW;0;-10424;0;305;91;884;308;4
3ILmwMefYZoQh5Cf5jeuUQ;0;-4185;1;565;76;669;56;4
2DHDuADAHoUW6n0z80RLQF;6;-5863;0;314;754;125;298;4
5JDcQAztvZTIkrWoZihgvC;5;-865;1;38;785;28;564;3
2sYFi9xVSZ56WHKSY2fN1K;6;-9389;0;306;894;129;407;4
6xJOhSm4SvZwzy3uhWz26O;1;-5222;1;375;78;131;273;4
7lLKxcNeJtDTWVRKHovLEC;4;-1302;1;314;91;111;159;4
25UzeaV47eDT44Fovve6xQ;0;-9448;1;36;687;119;502;4
4oa14QBfWRDfJy2agySy0L;0;-10357;1;356;834;146;231;4
2gRKq9rIC5i1zuxp06zJWH;0;-6477;1;46;572;912;265;4
08MFgEQeVLF37EyZ7jcwLc;3;-7018;1;315;868;191;415;3
6nXIYClvJAfi6ujLiKqEq8;6;-5419;0;302;726;11;217;4
7x4b0UccXSKBWxWmjcrG2T;1;-15317;1;331;983;13;435;4
6owKuyHxUqidcAA6fPKSyy;2;-8249;1;301;674;12;36;4
0wbmIfvndFV9VDvuUY1pYN;4;-10254;1;306;772;889;285;4
3e5yu9MkIvQx17mm7LF6KY;1;-12565;1;379;798;103;207;4
6VwAh8Z1d5YKoSWoEaV4db;0;-11429;1;288;896;111;48;4
2D4BSm5Z8Hq5zYbSgJwEOh;5;-7508;1;435;381;101;172;4
7LwGBxB0h0CVmkOZxYKn0g;0;-7842;1;277;198;899;196;4
0ZwdH0m32I8odedwvspYTh;0;-11989;1;33;603;131;264;4
3TwtrR1yNLY1PMPsrGQpOp;0;-9303;1;302;733;719;125;4
3Et4LKZLnXygPYfNdeB3D3;9;-9463;1;491;677;102;428;4
2E9viCx0hJKNKNThd2MdGQ;2;-8555;1;34;712;66;54;4
0Zf1BPkkFAWGtVHeBwHHz4;6;-784;1;396;158;101;117;4
2SkJKMfjpYsNv0KWOxiegX;7;-5148;1;748;182;167;519;4
4qCbMMMuEB56kHd4zPE6GD;2;-13553;1;273;645;687;253;4
11TK5KLtLZUdKr1C549bAw;8;-11106;1;369;883;143;335;4
7BXW1QCg56yzEBV8pW8pah;1;-4947;0;407;204;707;6;4
2kMrCPZ0o5gErBPLCRgoli;10;-6597;0;431;455;405;37;4
5IjTZ1g8KrIuV97N3OQZ0V;2;-10786;0;63;784;552;202;4
3bHhUEOTIbezeZ856R0BX5;11;-10835;0;327;902;111;298;4
